"date";"from";"text"
"2021-04-21T10:18:46";"<U+0001F499> Artsen voor Vrijheid <U+0001F499> AVV";"list(""It’s not an “illness”. It’s a direct result.\n\n"", list(type = ""link"", text = ""https://www.rt.com/news/521313-pvt-bloodclot-mrna-covid-vaccines/amp/""), """")"
"2021-04-21T10:18:46";"<U+0001F499> Artsen voor Vrijheid <U+0001F499> AVV";"list(list(type = ""hashtag"", text = ""#kidneyfailure""), "" "", list(type = ""hashtag"", text = ""#renalfailure""), "" 5/4/21"")"
"2021-04-21T10:18:46";"<U+0001F499> Artsen voor Vrijheid <U+0001F499> AVV";"list(list(type = ""hashtag"", text = ""#astrazeneca""), "" "", list(type = ""hashtag"", text = ""#platelets""), "" "", list(type = ""hashtag"", text = ""#rash""), "" 5/4/21"")"
"2021-04-21T10:18:46";"<U+0001F499> Artsen voor Vrijheid <U+0001F499> AVV";"list(type = ""link"", text = ""http://news.sky.com/story/covid-19-family-of-italian-woman-who-died-after-oxford-astrazeneca-vaccine-launches-legal-action-12278855"")"
"2021-04-21T10:18:46";"<U+0001F499> Artsen voor Vrijheid <U+0001F499> AVV";"Ángel, [19.04.21 13:18]
Yo soy conductor de ambulancias y tampoco me e vacunado al igual que otros dos que tampoco lo an echo uno estaba despierto y el otro lo e despertado yo <U+0001F4AA>

Ángel, [19.04.21 13:19]
Se de compañeros que estan ingresados por trombo y gente que acabo en la uci despues de vacunarse"
"2021-04-21T10:18:46";"<U+0001F499> Artsen voor Vrijheid <U+0001F499> AVV";"<U+0001F603><U+0001F603> MABE, [19.04.21 14:10]
¿De qué me sirve seguir teniendo trabajo, si me quedo sin salud?
El marido de mi amiga, policía local, 46 años, astra zeneca, está en UCI muy grave. Los médicos no le dan esperanzas a la familia de que salga."
"2021-04-21T10:18:47";"<U+0001F499> Artsen voor Vrijheid <U+0001F499> AVV";"Post Covid vaccine reaction on a patient who had eczema."
"2021-04-21T10:18:47";"<U+0001F499> Artsen voor Vrijheid <U+0001F499> AVV";"list(type = ""link"", text = ""https://www.globalresearch.ca/6000-increase-reported-vaccine-deaths-1st-quarter-2021-compared-1st-quarter-2020/5741588"")"
"2021-04-21T10:18:47";"<U+0001F499> Artsen voor Vrijheid <U+0001F499> AVV";"list(""Un senador del PSOE, hospitalizado tras ser vacunado con AstraZeneca - España - COPE\n"", list(type = ""link"", text = ""https://www.cope.es/actualidad/espana/noticias/senador-del-psoe-hospitalizado-tras-ser-vacunado-con-astrazeneca-20210420_1247553""), """")"
"2021-04-21T10:18:47";"<U+0001F499> Artsen voor Vrijheid <U+0001F499> AVV";"list(type = ""text_link"", text = ""3 dead in Michigan after vaccination"", href = ""https://welovetrump.com/2021/04/19/3-dead-in-michigan-after-vaccination/?utm_source=PTN&utm_medium=mixed&utm_campaign=PTN"")"
