"date";"from";"text"
"2021-03-29T21:04:53";"Chat voor demonstranten";"Welkom in de chatgroep van vervoer voor demonstranten! 
Deze chat is extra aangemaakt om de andere groep echt alleen voor vervoer te houden. 
Deel hier je foto's, verhalen, bedankjes etc. 
Verder gelden hier dezelfde regels. Mvg beheer"
"2021-03-29T21:18:51";"Chat voor demonstranten";"Welkom iedereen!"
"2021-03-29T22:13:28";"Giovanni";"De andere is nu dicht. 
het vervoer regelen kan vanaf vrijdagochtend.  
Die groep is nu uitsluitend voor vervoer"
"2021-03-29T22:26:04";"Giovanni";"Ik schoon de chat weer op dan zien de nieuwkomers de welkomst boodschap nog ergens bovenaan"
"2021-03-29T22:27:22";"Giovanni";"Naam blijft voorlopig zo. 
Zo is de link in ieder geval snel gelegd met de vervoers groep. 
Groeien we wat sneller denk ik ook.. 
Kunnen altijd later nog wat er mee doen."
"2021-03-29T22:28:16";"Ger";"Je hebt gelijk man, mijn bedoeling was daarstraks dit gewoon met jullie te delen, omdat jullie gisteren zo fantastisch voor ons zijn geweest. Maar het ging zijn eigen leven lijden. Dat was niet mijn bedoeling sorry.
Jullie zijn wel de laatste mensen die ik zou willen benadelen <U+2764><U+FE0F>"
"2021-03-29T22:28:18";"g";"Misschien moeten er wel subchats gemaakt worden. Met een hiërarchie van subchatleiders die dan weer in aparte chats zitten waar ze tussen verschillende sub chats kunnen communiceren."
"2021-03-29T22:29:07";"Giovanni";"<U+0001F4AA><U+0001F4AA>"
"2021-03-29T22:31:03";"Janneke";"Die ebs in Florida was idd een test."
"2021-03-29T22:31:10";"FR";"Top!"
"2021-03-29T22:31:30";"FR";"Gelukkig geen ernstig weer ofzo."
"2021-03-29T22:32:42";"Linda";"Ja zoiets wilden we ook in eerste instantie doen idd. Maar deze optie was net wat makkelijker <U+0001F602>"
"2021-03-29T22:32:55";"Linda";"<U+2764><U+FE0F>"
"2021-03-29T22:33:09";"Janneke";"Ik heb altijd 1 betrouwbare bron en dat is wallstreet."
"2021-03-29T22:33:14";"FR";"Giovanni, check je DMs."
"2021-03-29T22:33:38";"Janneke";"Zolang die niet zakt is er niks aan de hand, alles draait helaas om geld."
"2021-03-29T22:39:22";"S.j";"Je hebt niemand benadeeld, fijn dat je hier bent <U+2764><U+FE0F>"
"2021-03-29T22:51:19";"Petra Boonstra";"Hoi allemaal! Dat werkte aardig met die flyertjes voor de vervoer telegram groep. Iedereen bedankt voor het uitdelen in de omsingelde groep <U+0001F609>"
"2021-03-29T22:53:58";"Giovanni";"Nogmaals 1000x dank<U+0001F601>"
"2021-03-29T22:58:32";"Petra Boonstra";"Als de opzet oke is, ga ik alvast meer printen voor volgende keren."
"2021-03-29T23:06:13";"AK 57";"<U+2665><U+FE0F> hai allemaal"
"2021-03-29T23:06:59";"Giovanni";"Welkom<U+0001F601>"
"2021-03-29T23:07:28";"Giovanni";"Ik pb je even"
"2021-03-30T00:16:48";"S.j";"Ben benieuwd naar de reactie hiervan"
"2021-03-30T00:23:29";"S.j";"list(type = ""link"", text = ""https://t.me/samen1voornl"")"
"2021-03-30T00:24:29";"Linda";"Ja interessant"
"2021-03-30T00:29:29";"Janneke";"Ik ben bang dat hij zich er hier gewoon uit kan draaien op basis van de anderhalve meter wet."
"2021-03-30T01:37:59";"S.j";"Ik hoop het niet"
"2021-03-30T01:38:07";"S.j";"Lieve mensen de chat gaat sluiten"
"2021-03-30T01:38:13";"S.j";"Morgen zijn we er weer"
"2021-03-30T09:36:59";"Giovanni";"Good morning.
 De chat is weer open"
