"date";"from";"text"
"2020-07-26T00:27:03";"Marianne";"Zo jammer dat ie al breed uit over facebook als event staat."
"2020-07-26T00:28:26";"Car";"Ja idd"
"2020-07-26T00:35:16";"Krisso";"Weer hun"
"2020-07-26T00:35:36";"Krisso";"1 keer ok. Nu zijn het dus weer dezelfde"
"2020-07-26T00:39:13";"Marianne";"list(""Welkom "", list(type = ""mention_name"", text = ""Eline"", user_id = 1205464071), ""  :)"")"
"2020-07-26T03:58:01";"Meriam";"Goed idee Gerben!"
"2020-07-26T07:28:00";"Omnipresent";"list(type = ""link"", text = ""https://t.me/Wakker2020aktieAgenda"")"
"2020-07-26T07:28:54";"Omnipresent";"list(type = ""link"", text = ""https://t.me/Wakker2020aktieAgendaChat"")"
"2020-07-26T07:52:07";"sir<U+2713>illa<U+2713>illa<U+0001F1F3><U+0001F1F1>";"Is deze demo aangemeld bij de gemeente Den Haag ?
Want als er geen 'goedkeuring' is, staat de ME weer op de stoep en ik denk dat we daar geen zin in hebben... <U+0001F914>"
"2020-07-26T07:58:46";"Omnipresent";"snap je"
"2020-07-26T07:59:23";"Omnipresent";"ik zal s eens vragen"
"2020-07-26T11:25:20";"Omnipresent";"nee"
"2020-07-26T11:31:42";"Marianne";"ah reply is terug"
"2020-07-26T11:31:46";"Marianne";"Hoi en goedemorgen"
"2020-07-26T11:32:04";"Meriam";"Goedemorgen!"
"2020-07-26T11:36:44";"Krisso";"Dus het is de 2e keer dat er dus iets geforceerd word om braaf aan te melden omdat brabant in opstand het WEER groots op fb zet. Nu vind ik hun helemaal verdacht"
"2020-07-26T11:37:16";"Krisso";"1 keer kan gebeuren, maar nog n keer?"
"2020-07-26T11:38:33";"Marianne";"Kris, wat is geforceerd?"
"2020-07-26T11:38:50";"Marianne";"Ik heb op beheer van wakker gelezen dat het aangemeld is"
"2020-07-26T11:43:03";"Omnipresent";"ja hoor"
"2020-07-26T11:43:08";"Omnipresent";"nee was niet aangemeld"
"2020-07-26T11:44:47";"Marianne";"list(type = ""link"", text = ""https://www.facebook.com/groups/1120688444981351/"")"
"2020-07-26T11:45:16";"Marianne";"nieuwe, als je lid wilt worden graag"
"2020-07-26T11:47:40";"Marianne";"zie hier"
"2020-07-26T11:49:24";"Marianne";"list(list(type = ""mention"", text = ""@Omnipresent1971""), "" "", list(type = ""mention_name"", text = ""Kris"", user_id = 843810639), ""  WEs reageert op mijn vraag of die demo is gemeld. Ja dus."")"
"2020-07-26T11:50:18";"Omnipresent";"ah"
"2020-07-26T11:50:20";"Omnipresent";"thanks"
"2020-07-26T11:52:18";"Marianne";"Nou ben er evengoed niet zo blij van, als die al langere tijd op fb circuleert wordt het alsnog een overkill aan politie....."
"2020-07-26T11:52:32";"Marianne";"en dan, niemand wil herhalingen van nare feestjes uiteraard"
"2020-07-26T12:08:58";"sir<U+2713>illa<U+2713>illa<U+0001F1F3><U+0001F1F1>";"Oepsss <U+0001F914>"
"2020-07-26T12:09:10";"sir<U+2713>illa<U+2713>illa<U+0001F1F3><U+0001F1F1>";"Niet slim hè"
"2020-07-26T12:09:56";"sir<U+2713>illa<U+2713>illa<U+0001F1F3><U+0001F1F1>";"Dan kom ik sowieso niet
Absoluut géén zin in de ME"
"2020-07-26T12:14:24";"Omnipresent";"sorry"
"2020-07-26T12:14:35";"Omnipresent";"het is wel aangemeld willas"
"2020-07-26T12:14:38";"Omnipresent";"villas"
"2020-07-26T12:18:28";"Marianne";"Ja, meestal kun je wel een rustig deel vinden tijdens zo'n manifestatie. Zaak is vaak wel, ga met groepje heen, ga met groepje weg, en ga niet alleen."
"2020-07-26T12:18:45";"Marianne";"We kunnen altijd plek/tijd daar afspreken om samen te kunnen gaan."
"2020-07-26T12:22:51";"Marianne";"list(list(type = ""mention_name"", text = ""Villas<U+0001F1F3><U+0001F1F1>"", user_id = 815256566), "" Om een voorbeeld te geven. We hadden met de Haagse tocht voor vrijheid een loop, met 250 man lopers en nog meer politie. Mensen hebben rustig gelopen, ik persoonlijk ergerde me nogal aan de hoeveel heid blauw, en sommigen vonden dat we daarom controlled opposition waren. Nou nee dus. Erna hadden andere groepen wel mooiere tochten met minder in aantal maar zonder zo'n hoeveelheid politie. We zijn een stukje verder nu, en ik hoop dat het net als alle keren erna goed gaat. Laatste ellende was 21ste juni.Het is na vele grotere en kleinere acties een stuk beter te doen."")"
"2020-07-26T13:07:11";"Marianne";"ik zei nog zo,, niet doen. ER is een exact zelfde naam nou. Wou je dat ik perongeluk straks de verkeerder eruit gooi..."
"2020-07-26T13:16:09";"Marianne";"list(type = ""link"", text = ""https://www.nporadio1.nl/standpunt/2020-07-23"")"
"2020-07-26T13:16:25";"Marianne";"Graag nog even de stem uitbrengen? Er zijn wel beetje te weinig nog , dnak"
"2020-07-26T13:27:43";"Krisso";"Dat bedoel ik dus, dit is dus de 2e keer dat zij op eigen initiatief iets erop plempen"
"2020-07-26T13:41:19";"Marianne";"Als in: Wij hebben een aktie, en groepen mogen zich aansluiten."
"2020-07-26T13:41:35";"Marianne";"Ja, dat is heel wat anders, dan we hebben een idee en alle groepen mogen meebepalen."
"2020-07-26T13:42:36";"Marianne";"Dat wordt een voorzichtige deelname voor mij, en niet in mijn eentje.... noch minden op het veld, maar met een groepje"
"2020-07-26T14:11:39";"Omnipresent";"Ik vond 2.0 ook ok hoor"
"2020-07-26T14:12:51";"Omnipresent";"Begrijp ik goed dus dat we wrlke demo dan ook kunnen doe  gerben?en dus zonder aanmelden?omdat t al is aangemeld?"
"2020-07-26T16:29:35";"Dutch Patriot Jimmy Hendriks";"Gedaan, toch 80% nee"
"2020-07-26T17:01:08";"Patrice";"Voor vrouwen is het 85% oneens. Met mannen 81% oneens. Er zijn 1027 stemmen die geen man of vrouw hebben in ingevuld."
"2020-07-26T17:13:45";"Omnipresent";"Pretty good visual representation of how useful masks are"
"2020-07-26T17:33:01";"Victor Westerkamp";"Hiermee hebben ze vandaag de Grote Marktstraat volgeplakt. Zullen we ze vanavond weer verwijderen?"
"2020-07-26T17:38:38";"Marianne";"Nou vraag ik die dingen overwegend zelf aan voor de andere wandelclub Gerben. Dus lijkt me handig om even te zien wat het voor kennisgeving is. Bij ons komt er vervolgens overleg met papierwinkel van politie bij als ie aangemeld is met de bekende eisen erin voor 'niet lopen in centrum' bijvoorbeeld, je mag niet overal... etc."
"2020-07-26T17:40:00";"Marianne";"Fijn, ja die andere 100k stemmen, die zitten op het s t rand zeker lol... normaal zijn het er veel meer die meestemmen. Maarja, tis zoals het is."
"2020-07-26T17:41:01";"Marianne";"Ja vreselijk eigenlijk, ze hebben ook die gigantische hoeveelheden beton plantenbakken met 1vierkante meter sticker erop... Heb je die gezien, of hebben ze ze herplaatst in centrum?"
"2020-07-26T17:42:22";"Marianne";"ughh"
"2020-07-26T17:44:45";"Omnipresent";"im in..hoe laat? en wie gaat er mee?"
"2020-07-26T17:49:27";"Krisso";"Of spuiten, dat de pijl omgekeerd staat"
"2020-07-26T19:43:50";"sir<U+2713>illa<U+2713>illa<U+0001F1F3><U+0001F1F1>";"list(type = ""link"", text = ""https://youtu.be/27G9p-zS50Q"")"
"2020-07-26T19:59:57";"Krisso";"list(type = ""link"", text = ""https://youtu.be/qAQrsA3m8Bg"")"
"2020-07-26T20:00:04";"Krisso";"Zoiets doen"
"2020-07-26T20:40:19";"Dutch Patriot Jimmy Hendriks";"Hebben sommige van jullie ook volop arrestanten busjes zien rijden? Zie ze overal rijden, ook busjes en motoren. Volgens mij iets gaande"
"2020-07-26T20:40:19";"Dutch Patriot Jimmy Hendriks";"Manipulatie <U+0001F602>"
